RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
A0631,M. manacus,0,3,11.4,30,20.9,54,18.9,12-Sep,7,Sacha Huasi,2007
A0632,T. ardesiacus,0,4,17.1,36.3,17.6,70,18.3,12-Sep,8,Sacha Huasi,2007
AA0671,M. hauxwelli,1,3,,,,,12,12-Sep,9,Sacha Huasi,2007
B0237,C. auratus,0,4,24.2,49.1,20.5,84,60.5,12-Sep,9,Sacha Huasi,2007
B0236,R. melanosticta,1,3,,,,,33.5,12-Sep,10,Sacha Huasi,2007
AA0275,X. minutus,1,5,14.4,31.2,14.4,64,13,12-Sep,10,Sacha Huasi,2007
AA0677,G. spirurus,0,5,13.7,31.3,13.6,71,13.1,12-Sep,10,Sacha Huasi,2007
B0238,D. fuliginosa,0,5,29,54.6,25,108,,12-Sep,10,Sacha Huasi,2007
AA0509,M. oleagineus,1,5,12.2,29.1,14.7,61,11.6,12-Sep,10,Sacha Huasi,2007
AA0678,G. spirurus,0,5,10.6,28.9,16.7,64,,12-Sep,10,Sacha Huasi,2007
HBA43993,P. bourcieri,0,5,33.3,45.3,,55,4.1,12-Sep,10,Sacha Huasi,2007
A0626,T. ardesiacus,1,3,,,,,18.8,12-Sep,11,Sacha Huasi,2007
A0633,M. myotherinus,0,4,16.6,37.1,25.1,62,21.9,19-Mar,18,San Jose,2008
AA0679,G. spirurus,0,0,12.9,30.1,15.4,68,14.8,20-Mar,7,San Jose,2008
HBA43994,P. malaris,0,0,44.4,56.9,,64,6.1,21-Mar,6,Pacca Huasi,2008
A0634,P. erythrocephala,0,2,11.4,28.9,13.1,63,13.5,21-Mar,6,Pacca Huasi,2008
A0635,M. marginatus,0,5,19.9,38.7,22.1,59,17.6,21-Mar,6,Pacca Huasi,2008
HBA43995,P. malaris,0,5,45.1,56.5,,60,6.5,21-Mar,6,Pacca Huasi,2008
AA0680,M. hauxwelli,0,4,15.2,31.7,19.7,52,10.6,21-Mar,6,Pacca Huasi,2008
A0636,C. holochlora,0,5,12.5,29.6,14.8,72,16.2,21-Mar,7,Pacca Huasi,2008
HBA43996,P. malaris,0,5,45,58.3,,63,6.7,21-Mar,7,Pacca Huasi,2008
AA0681,M. hauxwelli,0,4,14.7,31.2,18.6,51,11.1,21-Mar,8,Pacca Huasi,2008
AA0682,M. oleagineus,0,0,12.6,27.4,14.6,64,11.1,21-Mar,8,Pacca Huasi,2008
AA0683,M. hauxwelli,0,3,14.8,31.7,18.6,53,10.7,21-Mar,8,Pacca Huasi,2008
HBA43997,T. furcata,0,4,31.4,46.4,,75,7.9,21-Mar,8,Pacca Huasi,2008
HBA43998,C. inda,0,3,52.8,82.4,12.3,98,52.5,21-Mar,8,Pacca Huasi,2008
C1303,F. unduligera,0,4,26.4,54.3,31,102,85.5,23-Mar,6,Paushi,2008
AA0603,L. coronata,1,5,10.8,27.2,13.9,58,10,23-Mar,7,Paushi,2008
AA0999,G. spirurus,1,5,13.8,30.7,16,72,14,23-Mar,7,Paushi,2008
AA0601,G. spirurus,1,5,13.9,31.3,16.3,69,17.6,23-Mar,7,Paushi,2008
AA0684,M. regulus,0,2,9.7,26.6,14.1,52,10.4,23-Mar,8,Paushi,2008
HBA43999,P. malaris,0,5,44,56.8,,60,6.2,23-Mar,8,Paushi,2008
B0239,D. fuliginosa,0,1,28.8,54.2,24.4,110,43.3,23-Mar,10,Paushi,2008
HBA00083,P. bourcieri,1,5,35.4,47.9,,57,4.9,23-Mar,11,Paushi,2008
A0637,T. cristatus,0,4,15.6,31.9,15.8,73,18.1,23-Mar,11,Paushi,2008
AA0685,L. coronata,0,2,10.4,27,13.2,58,10.3,23-Mar,14,Paushi,2008
AA0686,M. oleagineus,0,5,11.9,28.2,14,58,10.1,23-Mar,14,Paushi,2008
HBA44000,G. hirsuta,0,2,31.7,44.2,,59,6.9,23-Mar,16,Paushi,2008
A0638,H. leucostica,0,5,14.9,33.9,21.2,54,17.1,23-Mar,17,Paushi,2008
A0633,M. myotherinus,1,4,17,36.4,25.6,65,20,15-Jun,6,San Jose,2008
C1304,G. montana,0,3,19.3,42.4,27.8,142,113,15-Jun,6,San Jose,2008
HBA44001,P. malaris,0,5,43.6,54.9,,60,5.9,15-Jun,7,San Jose,2008
AA0687,L. coronata,0,2,9.9,26.7,13.8,60,9.9,15-Jun,8,San Jose,2008
AA0688,M. oleagineus,0,5,12.7,28.7,15,62,11.8,15-Jun,8,San Jose,2008
A0489,M. myotherinus,1,3,17.3,38.4,24.7,65,21.5,15-Jun,9,San Jose,2008
HBA44003,P. malaris,0,5,45.3,56.3,,62,6.3,15-Jun,10,San Jose,2008
AA0689,M. hauxwelli,0,4,13.7,30.8,20.6,53,11.3,17-Jun,6,San Jose,2008
AA0529,M. hauxwelli,1,3,13.4,31.6,20.3,56,11.1,17-Jun,6,San Jose,2008
A0639,P. erythrocephala,0,2,9.1,28.9,15.9,58,15,17-Jun,6,San Jose,2008
HBA44044,P. malaris,0,5,41.4,56.3,,61,6.5,17-Jun,7,San Jose,2008
B0240,X. guttatus,0,5,39.8,60.5,30.5,113,,17-Jun,7,San Jose,2008
AA0690,M. regulus,0,4,8.1,25.1,17.8,50,9.1,17-Jun,7,San Jose,2008
AA0691,G. spirurus,0,5,11.4,30.2,18,69,14,17-Jun,7,San Jose,2008
HBA44005,T. furcata,0,3,23.9,36.9,,59,5.3,17-Jun,8,San Jose,2008
A0640,P. erythrocephala,0,2,11,28.5,20,60,13.8,17-Jun,9,San Jose,2008
AA0419,L. coronata,1,4,10.2,26.3,19,59,10.5,17-Jun,9,San Jose,2008
AA0691,G. spirurus,1,,,,,,13.9,17-Jun,9,San Jose,2008
B0241,P. erythrocercus,0,5,20.9,47.8,22.2,93,34.5,18-Jun,6,San Jose,2008
AA0689,M. hauxwelli,1,4,,,,,11.6,18-Jun,7,San Jose,2008
AA0692,L. coronata,0,1,9.3,26.9,13.7,60,10.3,18-Jun,8,San Jose,2008
A0641,M. myotherinus,0,3,16.3,38.9,27.8,67,24,18-Jun,10,San Jose,2008
AA0693,L. coronata,0,3,8.6,23.9,17.9,62,8.2,18-Jun,11,San Jose,2008
B0150,D. fuliginosa,1,5,27.3,54.9,25.7,109,43,19-Jun,7,San Jose,2008
AA0694,M. oleagineus,0,5,12.1,27.8,15.9,63,11.6,19-Jun,7,San Jose,2008
HBA44010,E. condamini,0,5,20.3,38.8,,76,12.9,19-Jun,11,San Jose,2008
C1305,M. momota,0,5,45.3,75.8,26.5,135,115,19-Jun,11,San Jose,2008
C1306,M. momota,0,5,40.4,76.4,37.5,130,119,20-Jun,9,San Jose,2008
A0642,P. filicauda,0,3,10,29.5,14.8,66,13.5,20-Jun,9,San Jose,2008
HBA44008,E. condamini,0,5,28.6,41.9,,72,12.9,20-Jun,9,San Jose,2008
A0643,P. erythrocephala,0,2,9.2,30,15.4,58,13.3,20-Jun,9,San Jose,2008
HBA44006,P. malaris,0,5,39.9,55.3,,62,6.7,20-Jun,10,San Jose,2008
HBA44007,P. malaris,0,5,39,54.5,,61,6.5,20-Jun,10,San Jose,2008
HBA44009,P. malaris,0,5,42.6,58.1,,61,6.6,20-Jun,10,San Jose,2008
AA0695,G. spirurus,0,5,13.2,31.4,18.3,69,14.2,20-Jun,10,San Jose,2008
A0642,P. filicauda,1,3,,,,,13.1,20-Jun,11,San Jose,2008
A0696,L. coronata,0,3,8.6,24.6,13.8,60,8.4,20-Jun,11,San Jose,2008
AA0697,M. axillaris,0,3,13.6,29.4,18.9,50,8.5,21-Jun,6,San Jose,2008
A0644,T. ardesiacus,0,3,15.9,34.1,21.9,73,18,21-Jun,6,San Jose,2008
AA0698,G. spirurus,0,5,11.7,31.3,16.9,75,16,21-Jun,6,San Jose,2008
AA0699,L. coronata,0,2,10,27.2,18.1,59,10,21-Jun,6,San Jose,2008
A0645,P. erythrocephala,0,2,12.3,30,17,60,14,21-Jun,6,San Jose,2008
A0646,C. holochlora,0,5,11.5,30.4,16.4,73,16,21-Jun,6,San Jose,2008
A0647,C. holochlora,0,5,12.7,30.1,18,68,16,21-Jun,6,San Jose,2008
B0242,X. spixii,0,5,39.6,54.3,21.6,101,39,21-Jun,6,San Jose,2008
B0243,C. aurita,0,3,14.5,38.5,28,59,24.8,21-Jun,6,San Jose,2008
A0648,P. filicauda,0,2,12.4,29.6,18.1,70,14.5,21-Jan,6,San Jose,2008
B0244,S. caudacutus,0,5,25.7,40.2,19.9,79,23.5,21-Jun,6,San Jose,2008
AA0700,L. coronata,0,2,9.9,25.9,14.3,59,11.1,21-Jun,6,San Jose,2008
AA0701,L. coronata,0,2,8.8,26.1,14.7,60,7,21-Jun,6,San Jose,2008
A0649,E. xanthogaster,0,3,8.8,26.8,15.7,62,14,21-Jun,8,San Jose,2008
AA0702,L. coronata,0,2,9.2,25.1,15.4,63,9.6,21-Jun,8,San Jose,2008
HBA44011,P. malaris,0,5,42.8,57,,62,6.5,21-Jun,8,San Jose,2008
A0650,H. poecilinota,0,3,18,36.7,25.4,72,18,21-Jun,8,San Jose,2008
A0651,T. schistaceus,0,3,19.2,39.3,20.3,68,22.8,21-Jun,8,San Jose,2008
A0652,H. cantator,0,3,14.5,35.2,18.7,60,,21-Jun,8,San Jose,2008
A0648,P. filicauda,1,,,,,,13.5,21-Jun,9,San Jose,2008
A0653,P. erythrocephala,0,2,9.2,27.9,11.5,65,12.5,21-Jun,9,San Jose,2008
AA0703,M. oleagineus,0,5,12.1,28.9,14.3,61,9.5,21-Jun,9,San Jose,2008
HBA44012,T. niger,0,5,33,47.4,,66,6.4,21-Jun,9,San Jose,2008
HBA44013,T. furcata,0,3,21.5,36.2,,58,5.1,21-Jun,9,San Jose,2008
AA0704,M. regulus,0,2,10.3,26.5,16.5,53,11.5,21-Jun,9,San Jose,2008
AA0701,L. coronata,1,,,,,,10.5,21-Jun,10,San Jose,2008
HBA44014,T. furcata,0,4,20.1,34.9,,54,4.3,21-Jun,10,San Jose,2008
HBA44015,P. malaris,0,5,39.2,54,,60,5.8,21-Jun,10,San Jose,2008
C1283,T. albicollis,1,5,19.5,45.6,30.2,106,52,21-Jun,10,San Jose,2008
C1307,M. fortis,0,4,22.3,46.9,34.5,83,51.5,21-Jun,11,San Jose,2008
AA0705,M. oleagineus,0,5,9.9,28.6,13.8,65,11.5,22-Jun,7,San Jose,2008
A0654,H. poecilinota,0,4,17.7,37.2,27.8,66,18.5,22-Jun,7,San Jose,2008
A0655,H. poecilinota,0,3,16.4,37.3,21.2,70,18.5,22-Jun,8,San Jose,2008
HBA44016,P. malaris,0,5,39.3,54.2,,57,6,22-Jun,8,San Jose,2008
AA0706,M. regulus,0,2,9.3,26.7,17.5,55,,22-Jun,8,San Jose,2008
HBA44017,T. niger,0,5,32.9,48.3,,56,6.2,22-Jun,8,San Jose,2008
AA0707,L. coronata,0,1,9.2,26.3,14,60,8.1,22-Jun,8,San Jose,2008
B0245,C. aurita,0,3,14.1,37.1,24.1,68,23,22-Jun,8,San Jose,2008
A0656,D. cincta,0,3,17.7,36.4,25.5,61,16,22-Jun,8,San Jose,2008
A0657,D. cincta,0,4,18.5,36,20.8,63,16,22-Jun,8,San Jose,2008
A0658,P. erythrocephala,0,2,7.8,29.4,13.4,61,13.5,22-Jun,9,San Jose,2008
AA0426,G. spirurus,1,5,10.1,30.6,18.7,76,14.5,22-Jun,9,San Jose,2008
AA0708,G. spirurus,0,5,13.3,30.6,19.1,70,14.5,22-Jun,9,San Jose,2008
B0246,T. surinamus,0,3,14.1,33.6,15.7,80,20,22-Jun,10,San Jose,2008
B0109,T. surinamus,1,4,15.3,33.5,20.4,80,19.5,22-Jun,10,San Jose,2008
AA0707,L. coronata,1,,,,,,8,22-Jun,10,San Jose,2008
AA0709,L. coronata,0,2,9.1,27.7,18.3,63,11,22-Jun,10,San Jose,2008
A0659,E. xanthogaster,0,3,8.3,27,15.2,65,14,22-Jun,10,San Jose,2008
A0660,P. erythrocephala,0,3,10.8,27.7,13.3,6.3,12.4,22-Jun,10,San Jose,2008
AA0710,G. spirurus,0,5,12.5,30.3,17.7,75,15,22-Jun,11,San Jose,2008
A0656,D. cincta,1,,,,,,15.5,22-Jun,11,San Jose,2008
HBA44018,T. niger,0,5,34.4,49,,59,6.5,22-Jun,11,San Jose,2008
A0661,P. erythrocephala,0,3,8.9,28,13.1,63,13,22-Jun,11,San Jose,2008
A0622,P. albifrons,0,5,14.6,34.7,21.3,71,21.5,23-Jun,15,Pacca Huasi,2008
A0663,M. marginatus,0,5,20.9,40.1,24.8,58,20,25-Jun,6,Pacca Huasi,2008
C1308,M. fusca,0,5,26.4,55.5,22.2,85,43.5,25-Jun,7,Pacca Huasi,2008
A0664,H. ochraceiceps,0,5,13.1,30.8,16.1,63,12.5,25-Jun,7,Pacca Huasi,2008
AA0711,G. spirurus,0,5,14.3,31.4,17.2,71,15.5,25-Jun,7,Pacca Huasi,2008
B0247,C. cyanoides,0,4,17,40.2,23.8,90,30.5,25-Jun,7,Pacca Huasi,2008
C1309,P. erythroptera,0,4,19.4,44.5,22.8,94,59,25-Jun,7,Pacca Huasi,2008
A0665,P. albifrons,0,1,17.1,34.6,23.4,70,,25-Jun,7,Pacca Huasi,2008
HBA044019,P. bourcieri,0,5,30.6,44.8,,55,4,25-Jun,7,Pacca Huasi,2008
AA0712,M. hauxwelli,0,3,13.2,32.3,17.5,55,12.4,25-Jun,7,Pacca Huasi,2008
A0666,P. albifrons,0,5,15.6,35.4,20.8,70,20,25-Jun,7,Pacca Huasi,2008
AA0713,L. coronata,0,2,10.2,26.6,16,60,9.6,25-Jun,7,Pacca Huasi,2008
B0248,G. leucaspis,0,5,18.6,38.5,27.7,75,26,25-Jun,7,Pacca Huasi,2008
B0249,T. caesius,0,1,19,35.5,17.2,73,17,25-Jun,7,Pacca Huasi,2008
B0250,P. erythrocercus,0,5,20.2,44.9,23.7,89,41,25-Jun,8,Pacca Huasi,2008
B0251,M. myotherinus,0,4,19.3,36.8,28.3,65,22,25-Jun,8,Pacca Huasi,2008
AA0714,M. hauxwelli,0,3,14.4,31.6,19.1,54,10.3,25-Jun,8,Pacca Huasi,2008
A0667,H. poecilinota,0,3,17.9,38,26.9,71,17,25-Jun,8,Pacca Huasi,2008
AA0715,G. spirurus,0,5,12.9,30.7,16.9,70,17.9,25-Jun,8,Pacca Huasi,2008
B0252,D. fuliginosa,0,5,28.6,51.5,22.7,103,36.7,25-Jun,8,Pacca Huasi,2008
AA0716,L. coronata,0,2,9.8,26.5,14.7,59,9.4,25-Jun,8,Pacca Huasi,2008
A0668,H. poecilinota,0,4,18.7,36.2,26.8,69,19,25-Jun,8,Pacca Huasi,2008
A0669,P. albifrons,0,5,14.8,34.1,24.1,68,21,25-Jun,8,Pacca Huasi,2008
B0253,H. rubica,0,3,16.4,37.2,24.5,94,31,25-Jun,8,Pacca Huasi,2008
HBA44020,P. malaris,0,5,39.9,56,,63,8.2,25-Jun,8,Pacca Huasi,2008
B0254,G. leucaspis,0,3,17.4,39.2,25.1,73,25.6,25-Jun,8,Pacca Huasi,2008
B0255,X. spixii,0,5,31,54.2,21.4,105,42,25-Jun,9,Pacca Huasi,2008
A0670,P. erythrocephala,0,2,13.3,29.5,15.7,64,13.4,25-Jun,9,Pacca Huasi,2008
AA0717,G. spirurus,0,5,12.7,29.3,16.2,72,15.1,25-Jun,10,Pacca Huasi,2008
AA0718,G. spirurus,0,5,12.3,30.1,15.1,75,14.2,25-Jun,10,Pacca Huasi,2008
B0256,H. subulatus,0,5,21.5,46.1,21.7,85,28,25-Jun,10,Pacca Huasi,2008
B0257,S. maximus,0,5,21.2,41.1,28.6,98,41,25-Jun,10,Pacca Huasi,2008
HBA44021,T. niger,0,5,31.3,48.4,,66,7,25-Jun,10,Pacca Huasi,2008
B0250,P. erythrocercus,1,,,,,,40,25-Jun,10,Pacca Huasi,2008
HBA44022,P. malaris,0,5,40.9,57.4,,60,6.5,25-Jun,10,Pacca Huasi,2008
C1308,M. fusca,1,,,,,,44,25-Jun,11,Pacca Huasi,2008
AA0719,M. regulus,0,2,9.7,25.2,15.1,52,11.4,25-Jun,11,Pacca Huasi,2008
HBA44023,P. malaris,0,5,41.4,54.8,,61,6.8,25-Jun,11,Pacca Huasi,2008
A0671,P. albifrons,0,5,18.2,35.1,24.9,69,20.5,28-Jun,8,Pacca Huasi,2008
B0258,T. ardesiacus,0,3,14.9,37.4,18.7,76,18,28-Jun,8,Pacca Huasi,2008
A0672,P. albifrons,0,5,15.9,34.7,24.9,74,19,28-Jun,8,Pacca Huasi,2008
AA0720,X. minutus,0,5,13.6,31,14.2,66,13.6,28-Jun,8,Pacca Huasi,2008
B0259,T. ardesiacus,0,4,19.4,37.2,23.3,74,18.5,28-Jun,8,Pacca Huasi,2008
AA0721,G. spirurus,0,5,12.6,31.2,15.3,76,15.5,28-Jun,8,Pacca Huasi,2008
AA0722,M. oleagineus,0,5,11.6,28.2,19.4,62,9.5,28-Jun,8,Pacca Huasi,2008
AA0723,C. holochlora,0,5,11.1,30.2,15.2,75,16,28-Jun,8,Pacca Huasi,2008
HBA44024,P. malaris,0,5,43.3,63.4,,57,6.5,28-Jun,8,Pacca Huasi,2008
C1310,G. montana,0,4,19,41.4,24.1,130,112,28-Jun,8,Pacca Huasi,2008
A0673,P. albifrons,0,5,17.4,34.7,24,74,19.5,28-Jun,8,Pacca Huasi,2008
A0674,P. albifrons,0,5,16.2,35.7,26.1,72,19.5,28-Jun,8,Pacca Huasi,2008
HBA44019,P. bourcieri,1,,,,,,4.2,28-Jun,8,Pacca Huasi,2008
D0017,O. gujanensis,0,5,19.7,46.4,34.6,150,306,29-Jun,7,Pacca Huasi,2008
B0260,G. leucaspis,0,4,17.6,37.5,26.7,71,26.5,29-Jun,7,Pacca Huasi,2008
AA0723,C. holochlora,1,,,,,,15.5,29-Jun,7,Pacca Huasi,2008
AA0724,M. axillaris,0,3,14.4,30.7,19.7,52,8.9,29-Jun,7,Pacca Huasi,2008
AA0725,M. oleagineus,0,5,10.8,28.4,14.3,63,11.4,29-Jun,8,Pacca Huasi,2008
AA0717,G. spirurus,1,,,,,,13.9,29-Jun,8,Pacca Huasi,2008
AA0726,M. axillaris,0,3,14,29.2,16.4,55,8.6,29-Jun,8,Pacca Huasi,2008
B0261,T. ardesiacus,0,3,18.5,37.8,20.7,72,19,29-Jun,9,Pacca Huasi,2008
AA0722,M. oleagineus,1,,,,,,9.2,29-Jun,9,Pacca Huasi,2008
AA0727,M. regulus,0,2,9.1,25.8,14.5,56,10.2,29-Jun,11,Pacca Huasi,2008
A0671,P. albifrons,1,,,,,,19.9,30-Jun,6,Pacca Huasi,2008
B0262,A. infuscatus,0,5,19.8,42.9,25,93,33,30-Jun,6,Pacca Huasi,2008
A0675,P. albifrons,0,5,15.8,36.8,25.5,71,20.5,30-Jun,6,Pacca Huasi,2008
B0263,G. leucaspis,0,4,16.7,37.4,28.7,78,26,30-Jun,6,Pacca Huasi,2008
A0665,P. albifrons,1,,,,,,20.5,30-Jun,6,Pacca Huasi,2008
B0265,G. leucaspis,0,3,17.3,38.7,23.7,75,27.5,30-Jun,6,Pacca Huasi,2008
A0670,P. erythrocephala,0,3,12,29.1,15.9,68,14.3,30-Jun,8,Pacca Huasi,2008
AA0728,G. spirurus,0,5,12.5,30.7,16.4,75,14.5,30-Jun,8,Pacca Huasi,2008
A0677,P. albifrons,0,1,16.4,34.4,22.7,70,21,30-Jun,9,Pacca Huasi,2008
A0666,P. albifrons,1,,,,,,20,30-Jun,9,Pacca Huasi,2008
A0678,P. albifrons,0,5,15.1,35.8,23.3,69,21,30-Jun,10,Pacca Huasi,2008
HBA43995,P. malaris,1,5,42.9,55.1,,60,6.9,30-Jun,10,Pacca Huasi,2008
HBA44025,P. malaris,1,5,42.9,55.1,,60,6.9,30-Jun,10,Pacca Huasi,2008
HBA44026,P. malaris,0,5,42.8,53.4,,54,6.1,30-Jun,10,Pacca Huasi,2008
HBA44027,T. furcata,0,4,40.4,45.3,,52,4.4,30-Jun,10,Pacca Huasi,2008
A0665,P. albifrons,1,,,,,,19.5,30-Jun,11,Pacca Huasi,2008
AA0729,T. erythrurus,0,5,11.5,25.4,3.4,31,6.7,30-Jun,11,Pacca Huasi,2008
A0679,H. ochraceiceps,0,5,14.1,31.2,15.4,37,12,30-Jun,11,Pacca Huasi,2008
AA0730,C. holochlora,0,5,10.8,29.8,16.3,63,12.6,30-Jun,11,Pacca Huasi,2008
AA0731,G. spirurus,0,5,12.7,30.6,15.5,73,15,30-Jun,11,Pacca Huasi,2008
A0680,T. xanthrogastra,0,5,10.5,28,16,60,13.9,30-Jun,11,Pacca Huasi,2008
AA0732,M. longipennis,0,3,15,31.1,15.3,62,9.8,30-Jun,11,Pacca Huasi,2008
AA0733,M. axillaris,0,3,13.7,30.8,15.3,54,9.5,30-Jun,11,Pacca Huasi,2008
HBA44028,C. largipennis,0,5,28.5,45.9,,75,9.8,30-Jun,11,Pacca Huasi,2008
AA0734,G. spirurus,0,5,13.5,31.2,18.4,74,15,30-Jun,11,Pacca Huasi,2008
AA0628,G. spirurus,1,5,13.1,30.4,16.3,73,13.3,30-Jun,11,Pacca Huasi,2008
A0674,P. albifrons,1,,,,,,20,01-Jul,6,Pacca Huasi,2008
A0681,P. albifrons,0,5,14.6,35.2,20.9,68,,01-Jul,6,Pacca Huasi,2008
B0625,X. triangularis,0,5,20,44.1,21.9,92,40.5,01-Jul,6,Pacca Huasi,2008
A0675,P. albifrons,1,,,,,,20,01-Jul,6,Pacca Huasi,2008
AA0735,L. coronata,0,2,8.5,27.2,12.9,57,9.7,01-Jul,7,Pacca Huasi,2008
A0682,E. xanthogaster,0,2,9.9,28.3,15.3,64,14.2,01-Jul,7,Pacca Huasi,2008
B0267,X. ocellatus,0,5,34.4,57,20.6,101,36,01-Jul,7,Pacca Huasi,2008
B0266,X. ocellatus,0,5,32.6,60,22.7,110,41,01-Jul,7,Pacca Huasi,2008
A0683,G. spirurus,0,5,12.4,31.5,17.1,70,15.5,01-Jul,7,Pacca Huasi,2008
B0268,T. caesius,0,3,16.1,35.5,16.9,73,18,01-Jul,7,Pacca Huasi,2008
A0684,T. caesius,0,2,16.5,37.4,27,70,19,01-Jul,7,Pacca Huasi,2008
B0269,T. ardesiacus,0,2,17,36.1,17.8,70,17,01-Jul,7,Pacca Huasi,2008
AA0736,G. spirurus,0,5,12.9,30.2,16.1,68,14.3,01-Jul,9,Pacca Huasi,2008
B0270,H. subulatus,0,5,24.5,47.1,20,81,26.5,01-Jul,9,Pacca Huasi,2008
AA0737,M. axillaris,0,2,15.2,30.7,15.7,53,9.5,01-Jul,9,Pacca Huasi,2008
AA0738,M. axillaris,0,2,14.6,29.7,17.7,54,8.6,01-Jul,9,Pacca Huasi,2008
AA0739,M. axillaris,0,3,15,31.2,16,55,9.1,01-Jul,9,Pacca Huasi,2008
AA0740,M. axillaris,0,2,14.3,30.2,15.9,54,8.5,01-Jul,9,Pacca Huasi,2008
A0685,P. erythrocephala,0,2,12,27.5,17.7,66,13.1,01-Jul,9,Pacca Huasi,2008
A0686,P. erythrocephala,0,3,8.8,27.6,13.7,59,,01-Jul,9,Pacca Huasi,2008
AA0733,M. axillaris,1,,,,,,9.3,01-Jul,9,Pacca Huasi,2008
B0271,T. ardesiacus,0,3,16.7,36.3,17.9,71,17.5,01-Jul,9,Pacca Huasi,2008
AA0734,G. spirurus,0,5,13.1,30.4,19.1,17,13.8,01-Jul,9,Pacca Huasi,2008
B0272,X. ocellatus,0,5,31.9,59.5,21.7,110,45,01-Jul,9,Pacca Huasi,2008
B0273,X. ocellatus,0,5,29.3,51.7,20.7,99,34,01-Jul,9,Pacca Huasi,2008
HBA44029,T. furcata,0,3,20.5,33.7,,56,5,01-Jul,10,Pacca Huasi,2008
B0274,T. ardesiacus,0,4,16,36.5,18.4,71,18,01-Jul,10,Pacca Huasi,2008
A0671,P. albifrons,1,,,,,,19.5,01-Jul,10,Pacca Huasi,2008
AA0742,L. coronata,0,3,9.2,25.1,12.9,60,5.2,01-Jul,10,Pacca Huasi,2008
B0269,T. ardesiacus,1,,,,,,16.5,01-Jul,10,Pacca Huasi,2008
A0687,M. longipennis,0,4,15.9,33,14.4,55,10.5,01-Jul,10,Pacca Huasi,2008
AA0743,C. holochlora,0,5,10.7,30.2,14.8,77,15.5,01-Jul,10,Pacca Huasi,2008
HBA44025,P. malaris,1,,,,,,7,01-Jul,10,Pacca Huasi,2008
HBA44030,P. bourcieri,0,5,31.8,45.2,,56,4.1,01-Jul,11,Pacca Huasi,2008
AA0681,M. hauxwelli,1,4,14.1,31.1,20.2,52,10.8,01-Jul,11,Pacca Huasi,2008
A0688,T. coraya,0,5,18.9,37,24,61,18,03-Jul,7,Bigay,2008
HBA44031,E. condamini,0,5,29.5,42.1,,75,13.5,03-Jul,7,Bigay,2008
A0689,P. albifrons,0,1,14.5,34.9,20.9,71,19.5,03-Jul,7,Bigay,2008
A0690,P. albifrons,0,5,15.9,35.1,25.7,72,19.8,03-Jul,7,Bigay,2008
C1311,G. montana,0,3,21,44.2,26.4,140,114,03-Jul,7,Bigay,2008
B0275,M. myotherinus,0,3,18.3,39.3,31.7,72,23,03-Jul,7,Bigay,2008
HBA4402,P. malaris,0,5,40.1,55.7,,64,6.9,03-Jul,7,Bigay,2008
HBA4403,P. malaris,0,5,47,61.4,,62,6.9,03-Jul,7,Bigay,2008
A0691,P. erythrocephala,0,5,9.2,27.9,15.3,70,12.8,03-Jul,7,Bigay,2008
AA0744,L. coronata,0,3,8.8,26,12.9,62,8.5,03-Jul,7,Bigay,2008
AA0745,L. coronata,0,3,9.7,25.8,16.6,64,9.2,03-Jul,7,Bigay,2008
AA0746,G. spirurus,0,5,13.4,28.9,17.8,70,13,03-Jul,8,Bigay,2008
AA0747,L. coronata,0,3,9.8,25.7,16.7,64,8.5,03-Jul,8,Bigay,2008
AA0748,L. coronata,0,2,9,29,15.1,59,9.1,03-Jul,8,Bigay,2008
AA0749,M. regulus,0,3,8.7,25.7,17.1,55,9.9,03-Jul,8,Bigay,2008
HBA44034,P. malaris,0,5,41.6,57,,53,6.6,03-Jul,8,Bigay,2008
HBA44035,P. malaris,0,5,40.1,51.7,,59,6.2,03-Jul,8,Bigay,2008
B0276,C. cyanoides,0,4,15.7,35.1,21.4,79,25,03-Jul,8,Bigay,2008
HBA44036,P. malaris,0,5,43,58,,64,6.4,03-Jul,8,Bigay,2008
A0692,E. xanthogaster,0,6,10.6,27.1,18.7,67,13.4,03-Jul,8,Bigay,2008
AA0750,M. axillaris,0,2,14.4,31.1,19.4,55,,03-Jul,8,Bigay,2008
AA0751,L. coronata,0,2,9.6,25.5,14.7,66,9,03-Jul,10,Bigay,2008
HBA44037,P. malaris,0,5,44.8,53.8,,65,6.5,03-Jul,10,Bigay,2008
HBA44038,C. largipennis,0,5,29.9,47.8,,74,8,03-Jul,10,Bigay,2008
HBA43039,P. malaris,0,5,43.1,55.1,,63,6.4,03-Jul,11,Bigay,2008
AA0752,G. spirurus,0,5,12.2,29.2,16.2,67,13.8,03-Jul,11,Bigay,2008
HBA44040,D. johannae,0,4,31.6,43,,54,4.6,03-Jul,11,Bigay,2008
A0693,H. leucostica,0,5,16.1,36.9,23.9,56,17,04-Jul,6,Bigay,2008
AA0753,L. coronata,0,3,8.8,25.7,16.5,60,9.5,04-Jul,7,Bigay,2008
AA0754,G. spirurus,0,5,12.1,28.9,16.4,70,13.5,04-Jul,7,Bigay,2008
AA0755,H. naevia,0,4,15.5,37.9,20.5,61,14,04-Jul,7,Bigay,2008
AA0756,G. spirurus,0,5,11.8,30.3,16.3,74,14.5,04-Jul,7,Bigay,2008
