RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0222,G. spirurus,0,3,12.7,30.3,18.6,65,15,20-Jul,9,San Jose,2004
A0260,H. poecilinota,0,4,17.9,37.8,27.1,64,15,20-Jul,9,San Jose,2004
AA0221,M. axillaris,0,3,16.7,30,16.2,55,9.1,20-Jul,9,San Jose,2004
0,P. malaris,0,5,43.2,54.8,,55,5,20-Jul,9,San Jose,2004
AA0220,L. coronata,0,3,11.6,25.1,17.1,56,8,20-Jul,10,San Jose,2004
AA0223,L. coronata,0,4,9.4,25.3,15.2,59,10.5,20-Jul,10,San Jose,2004
AA0224,M. axillaris,0,3,15,30.9,16.3,54,8.5,20-Jul,10,San Jose,2004
0,P. bourcieri,1,,,,,,3.9,20-Jul,10,San Jose,2004
0,P. malaris,0,5,36.4,59.8,,61,7.1,20-Jul,10,San Jose,2004
A0261,T. caesius,0,4,18.5,37.2,19.1,70,17.5,20-Jul,10,San Jose,2004
C1249,G. montana,0,4,21.9,42.8,27.2,133,116,20-Jul,11,San Jose,2004
AA0225,G. spirurus,0,5,13.4,29.8,20,63,13.5,20-Jul,11,San Jose,2004
AA0226,M. hauxwelli,0,3,15,31.3,17.5,54,11.1,20-Jul,11,San Jose,2004
0,P. malaris,0,5,43.3,53.2,,53,5,20-Jul,11,San Jose,2004
AA0227,G. spirurus,0,5,12.6,29.9,15.8,69,14.2,20-Jul,12,San Jose,2004
0,P. atrimentalis,0,5,26.4,35.8,,39,,20-Jul,12,San Jose,2004
A0262,T. caesius,0,3,19,37.2,17.4,71,17.8,20-Jul,12,San Jose,2004
B0063,H. rubica,0,3,,,,92,30.6,23-Jul,6,Sacha Huasi,2004
AA0228,M. hauxwelli,0,3,,,,53,10.5,23-Jul,6,Sacha Huasi,2004
A0263,P. albifrons,0,5,,,,69,21.6,23-Jul,6,Sacha Huasi,2004
B0064,C. cyanoides,0,3,13.6,37,18.3,80,31.4,23-Jul,7,Sacha Huasi,2004
A0264,C. torquata,0,5,16.3,32.5,24.5,63,16.4,23-Jul,7,Sacha Huasi,2004
A0267,C. torquata,0,5,,,,71,17.1,23-Jul,7,Sacha Huasi,2004
A0265,H. poecilinota,0,4,17.8,63.8,,64,18,23-Jul,7,Sacha Huasi,2004
A0266,H. poecilinota,0,3,17.2,35.7,20.1,67,17,23-Jul,7,Sacha Huasi,2004
AA0229,L. coronata,0,3,8,23.4,11.6,55,8.5,23-Jul,7,Sacha Huasi,2004
AA0230,L. coronata,0,3,10.3,25.9,13.1,61,7.9,23-Jul,7,Sacha Huasi,2004
