Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Ramphastos vitellinus,Channel-billed Toucan,RAMPHASTIDAE,T,S/V,F,H,C,
Selenidera reinwardtii,Golden-collared Toucanet,RAMPHASTIDAE,T,S/M (P),F,H,C,
Pteroglossus castanotis,Chestnut-eared Aracari,RAMPHASTIDAE,S/T,S/V,F,H,C,
Pteroglossus pluricinctus,Many-banded Aracari,RAMPHASTIDAE,S/T,S/M (P),C,H,C,
Pteroglossus azara,Ivory-billed Aracari,RAMPHASTIDAE,T,S,U,H,C,
Picumnus rufiventris,Rufous-breasted Piculet,PICIDAE,T,S/M (P),U,L,U/M,
Melanerpes cruentatus,Yellow-tufted Woodpecker,PICIDAE,S/T/AG,S,C,L,C,
Veniliornis affinis,Red-stained Woodpecker,PICIDAE,T,S,F,M,C,
Piculus rubiginosus,Golden-olive Woodpecker,PICIDAE,S,S,U,L,C,
Colaptes punctigula,Spot-breasted Woodpecker,PICIDAE,S,S,U,L,M/C,
Celeus flavus,Cream-coloured Woodpecker,PICIDAE,S/AG,S,F,M,M/C,
Celeus elegans,Chestnut Woodpecker,PICIDAE,T/S,S/V,F,M,M/C,
Dryocopus lineatus,Lineated Woodpecker,PICIDAE,S/T,S,F,L,C,
Campephilus melanoleucos,Crimson-crested Woodpecker,PICIDAE,T,S,F,M,C,
Herpetotheres cachinnans,Laughing Falcon,FALCONIDAE,S,S,R,L,C,
Micrastur ruficollis,Barred Forest Falcon,FALCONIDAE,T,S/M,U,M,U/M,
Micrastur gilvicollis,Lined Forest Falcon,FALCONIDAE,T/V,S/M (P),R,H,U/M,I
Micrastur mirandollei,Slaty-backed Forest Falcon,FALCONIDAE,T,S/M (P),R,M,M/C,
Micrastur semitorquatus,Collared Forest Falcon,FALCONIDAE,T,M,R,M,M/C,
Ibycter americanus,Red-throated Caracara,FALCONIDAE,S/T,S,C,H,C,
Daptrius ater,Black Caracara,FALCONIDAE,R/S,S,C,L,T/C,
Milvago chimachima,Yellow-headed Caracara,FALCONIDAE,SC,S,U,L,T/C,
Brotegeris cyanoptera,Cobalt-winged Parakeet,PSITTACIDAE,T/S,S,F,M,C,
Pionus menstruus,Blue-headed Parrot,PSITTACIDAE,T/S,S,F,L,C,
Amazona ochrocephala,Yellow-crowned Parrot,PSITTACIDAE,V,S,U,M,C,
Amazona farinosa,Mealy Parrot,PSITTACIDAE,T,S,U,M,C,
Amazona amazonica,Orange-winged Parrot,PSITTACIDAE,T/V/S,S,F,M,C,
Pionites melanocephalus,Black-headed Parrot,PSITTACIDAE,T/V,S/V,F,H,C,
Pyrrhura melanura,Maroon-tailed Parakeet,PSITTACIDAE,T,S,U,H,C,
Aratinga weddellii,Dusky-headed Parakeet,PSITTACIDAE,T/S,S,F,L,C,
Orthopsittaca manilatus,Red-bellied Macaw,PSITTACIDAE,V,S,U,M,C,
Ara ararauna,Blue-and-yellow Macaw,PSITTACIDAE,T/AG,S/V,F,M,C,
Ara militaris,Military Macaw,PSITTACIDAE,T,S,U,M,C,
Ara macao,Scarlet Macaw,PSITTACIDAE,T,S,U,M,C,
Ara severus,Chestnut-fronted Macaw,PSITTACIDAE,T/S,S,C,M,C,
Psittacara leucopthalmus,White-eyed Parakeet,PSITTACIDAE,T/V,S,U,L,C,
Frederickena unduligera,Undulated Antshrike,THAMNOPHILIDAE,T,M (P),F,H,U,
Taraba major,Great Antshrike,THAMNOPHILIDAE,T/S,S,F,L,U,
Thamnophilus schistaceus,Plain-winged Antshrike,THAMNOPHILIDAE,T/V,V/M,F,H,M,
Thamnophilus aethiops,White-shouldered Antshrike,THAMNOPHILIDAE,T,M,C,H,U,I
Neoctantes niger,Black Bushbird,THAMNOPHILIDAE,T,S/M,U,H,U,
Thamnomanes ardesiacus,Dusky-throated Antshrike,THAMNOPHILIDAE,T,M,F,H,U,I
Thamnomanes caesius,Cinereous Antshrike,THAMNOPHILIDAE,T,V/M,F,H,U/M,I
Isleria hauxwelli,Plain-throated Antwren,THAMNOPHILIDAE,T,M (P),C,H,U,
Pygiptila stellaris,Spot-winged Antshrike,THAMNOPHILIDAE,T,M,U,H,C,
Epinecrophylla erythrura,Rufous-tailed Antwren,THAMNOPHILIDAE,T,M (P),U,H,U/M,I
Myrmotherula brachyura,Pygmy Antwren,THAMNOPHILIDAE,T/V,S,U,L,C,
Myrmotherula ignota,Moustached Antwren,THAMNOPHILIDAE,T/V,M,U,M,C,
Myrmotherula axillaris,White-flanked Antwren,THAMNOPHILIDAE,T/V/S,S/V/M (P),C,M,U/M,
Myrmotherula sunensis,Río Suno Antwren,THAMNOPHILIDAE,T,M (P),R,H,U/M,
Myrmotherula longipennis,Long-winged Antwren,THAMNOPHILIDAE,T,M,F,H,U/M,I
Myrmotherula menetriesii,Grey Antwren,THAMNOPHILIDAE,T,M,F,H,M/C,
Dichrozona cincta,Banded Antbird,THAMNOPHILIDAE,T,M (P),U,H,T,
Herpsilochmus dugandi,Dugand’s Antwren,THAMNOPHILIDAE,T,M,R,H,C,
Microrhopias quixensis,Dot-winged Antwren,THAMNOPHILIDAE,T,M,U,M,M,
